date,total_energy_kwh,session_count,unique_stations_used
2020-01-22,1430.253,132,27
2020-01-23,1668.543,170,27
2020-01-24,1402.157,150,27
2020-01-25,768.557,113,28
2020-01-26,796.99,116,28
2020-01-27,1556.911,150,28
2020-01-28,1543.682,140,27
2020-01-29,1503.742,158,28
2020-01-30,1410.289,150,29
2020-01-31,1388.587,144,28
2020-02-01,902.509,105,27
2020-02-02,672.101,83,25
2020-02-03,1525.869,145,27
2020-02-04,1576.089,155,28
2020-02-05,1325.383,130,26
2020-02-06,1517.843,147,28
2020-02-07,1400.253,147,29
2020-02-08,804.7139999999999,112,28
2020-02-09,837.692,97,28
2020-02-10,1363.601,127,27
2020-02-11,1384.214,144,27
2020-02-12,1343.379,144,27
2020-02-13,1521.181,146,27
2020-02-14,1439.213,152,27
2020-02-15,942.773,110,28
2020-02-16,923.982,107,29
2020-02-17,1060.226,100,29
2020-02-18,1289.184,134,28
2020-02-19,1302.366,135,29
2020-02-20,1256.506,123,27
2020-02-21,1291.958,148,28
2020-02-22,988.275,117,29
2020-02-23,1044.736,136,27
2020-02-24,1153.285,120,28
2020-02-25,1473.643,140,28
2020-02-26,1552.675,159,28
2020-02-27,1486.333,144,28
2020-02-28,1440.145,143,28
2020-02-29,632.881,92,25
2020-03-01,725.114,97,26
2020-03-02,1270.053,119,26
2020-03-03,1089.315,126,27
2020-03-04,1189.238,128,30
2020-03-05,1374.816,131,28
2020-03-06,1228.298,125,27
2020-03-07,666.695,95,27
2020-03-08,560.809,78,26
2020-03-09,1099.113,114,27
2020-03-10,1238.562,118,26
2020-03-11,1082.8029999999999,117,28
2020-03-12,1071.257,96,27
2020-03-13,746.78,77,25
2020-03-14,467.51800000000003,47,21
2020-03-15,293.075,33,16
2020-03-16,557.394,53,19
2020-03-17,282.242,24,15
2020-03-18,216.295,23,13
2020-03-19,169.498,18,12
2020-03-20,191.12,16,13
2020-03-21,176.996,13,10
2020-03-22,154.708,26,17
2020-03-23,129.349,19,11
2020-03-24,308.084,28,16
2020-03-25,123.955,13,10
2020-03-26,219.519,21,14
2020-03-27,124.06099999999999,17,12
2020-03-28,38.283,7,5
2020-03-29,157.527,24,14
2020-03-30,154.821,16,14
2020-03-31,191.525,18,11
2020-04-01,154.341,17,11
2020-04-02,120.732,12,10
2020-04-03,56.614000000000004,10,8
2020-04-04,122.605,14,13
2020-04-05,92.357,16,9
2020-04-06,151.793,12,10
2020-04-07,229.928,16,11
2020-04-08,139.606,11,8
2020-04-09,197.374,15,10
2020-04-10,112.28399999999999,12,9
2020-04-11,159.981,8,7
2020-04-12,203.218,19,10
2020-04-13,83.719,14,8
2020-04-14,134.044,15,11
2020-04-15,260.323,21,13
2020-04-16,175.79500000000002,15,12
2020-04-17,144.604,16,13
2020-04-18,192.846,11,9
2020-04-19,229.372,28,13
2020-04-20,115.589,20,15
2020-04-21,124.69200000000001,12,10
2020-04-22,107.571,17,12
2020-04-23,155.834,14,10
2020-04-24,78.494,11,8
2020-04-25,135.725,9,7
2020-04-26,141.673,20,14
2020-04-27,62.137,13,11
2020-04-28,257.523,20,12
2020-04-29,139.513,16,12
2020-04-30,162.237,18,15
2020-05-01,134.619,16,11
2020-05-02,137.119,9,6
2020-05-03,207.07999999999998,28,12
2020-05-04,145.81,17,11
2020-05-05,165.748,17,11
2020-05-06,196.317,23,15
2020-05-07,237.8,20,13
2020-05-08,147.049,13,11
2020-05-09,129.926,12,9
2020-05-10,138.524,22,13
2020-05-11,79.022,12,8
2020-05-12,199.962,14,10
2020-05-13,212.978,21,13
2020-05-14,188.257,21,12
2020-05-15,207.605,22,13
2020-05-16,183.52,15,11
2020-05-17,429.771,35,17
2020-05-18,180.274,17,10
2020-05-19,222.244,19,13
2020-05-20,151.281,21,16
2020-05-21,190.024,21,12
2020-05-22,189.09799999999998,24,15
2020-05-23,206.202,14,11
2020-05-24,226.871,30,15
2020-05-25,243.51000000000002,24,15
2020-05-26,233.92,24,15
2020-05-27,304.182,33,21
2020-05-28,215.544,26,16
2020-05-29,350.557,28,18
2020-05-30,195.173,16,12
2020-05-31,329.181,34,19
2020-06-01,359.93,27,16
2020-06-02,183.597,18,13
