date,total_energy_kwh,session_count,unique_stations_used,day_of_week,is_weekend,month,is_holiday,dow_sin,dow_cos,month_sin,month_cos,lag_1d,lag_7d,rolling_7d_avg,rolling_14d_avg
2020-02-23,1044.736,136,27,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,988.275,923.982,1158.9281428571428,1210.325
2020-02-24,1153.285,120,28,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,1044.736,1060.226,1176.1787142857142,1225.1138571428571
2020-02-25,1473.643,140,28,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1153.285,1289.184,1189.472857142857,1210.091285714286
2020-02-26,1552.675,159,28,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1473.643,1302.366,1215.824142857143,1216.4790714285716
2020-02-27,1486.333,144,28,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1552.675,1256.506,1251.5825714285716,1231.4287857142858
2020-02-28,1440.145,143,28,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1486.333,1291.958,1284.4150000000002,1228.939642857143
2020-02-29,632.881,92,25,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1440.145,988.275,1305.5845714285715,1229.0062142857143
2020-03-01,725.114,97,26,6,1,3,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,632.881,1044.736,1254.814,1206.8710714285714
2020-03-02,1270.053,119,26,0,0,3,0,0.0,1.0,1.0,6.123233995736766e-17,725.114,1153.285,1209.1537142857144,1192.6662142857144
2020-03-03,1089.315,126,27,1,0,3,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,1270.053,1473.643,1225.8348571428573,1207.653857142857
2020-03-04,1189.238,128,30,2,0,3,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1089.315,1552.675,1170.9308571428571,1193.3775
2020-03-05,1374.816,131,28,3,0,3,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1189.238,1486.333,1119.0112857142858,1185.2969285714285
2020-03-06,1228.298,125,27,4,0,3,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1374.816,1440.145,1103.0802857142858,1193.7476428571429
2020-03-07,666.695,95,27,5,1,3,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1228.298,632.881,1072.8164285714286,1189.2005000000001
2020-03-08,560.809,78,26,6,1,3,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,666.695,725.114,1077.6470000000002,1166.2305000000001
2020-03-09,1099.113,114,27,0,0,3,0,0.0,1.0,1.0,6.123233995736766e-17,560.809,1270.053,1054.1748571428573,1131.6642857142858
2020-03-10,1238.562,118,26,1,0,3,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,1099.113,1089.315,1029.7548571428572,1127.7948571428572
2020-03-11,1082.803,117,28,2,0,3,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1238.562,1189.238,1051.075857142857,1111.003357142857
2020-03-12,1071.257,96,27,3,0,3,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1082.803,1374.816,1035.8708571428572,1077.4410714285714
2020-03-13,746.78,77,25,4,0,3,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1071.257,1228.298,992.5052857142857,1047.7927857142856
2020-03-14,467.518,47,21,5,1,3,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,746.78,666.695,923.717,998.2667142857143
2020-03-15,293.075,33,16,6,1,3,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,467.518,560.809,895.2631428571428,986.4550714285715
